Seed,Gender,Distance,Bye_Gap,Max_Home_Streak,Max_Away_Streak,W1_Game,W2_Game,W3_Game,W4_Game,W5_Game,W6_Game,W7_Game,W8_Game,W9_Game,W10_Game,W11_Game,W12_Game,W13_Game,W14_Game,W15_Game,W16_Game,W17_Game,W18_Game,W19_Game,W20_Game,W1_Locale,W2_Locale,W3_Locale,W4_Locale,W5_Locale,W6_Locale,W7_Locale,W8_Locale,W9_Locale,W10_Locale,W11_Locale,W12_Locale,W13_Locale,W14_Locale,W15_Locale,W16_Locale,W17_Locale,W18_Locale,W19_Locale,W20_Locale
26,M,751,0,4,4,6,7,4,5,7,11,6,1,4,3,9,8,3,2,8,9,2,10,10,11,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1
26,M,740,0,9,6,8,11,10,2,3,6,5,0,7,9,8,4,6,5,10,7,9,3,11,4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
26,M,812,4,5,4,4,6,9,1,10,5,11,8,3,10,5,11,8,0,4,3,0,7,9,6,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1
26,M,2082,0,5,3,10,9,8,6,1,7,9,11,2,0,7,5,0,4,6,2,10,1,5,11,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1
26,M,948,6,3,3,2,8,0,11,9,10,8,7,0,5,11,1,7,3,2,6,5,9,6,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1
26,M,772,4,4,6,7,10,6,0,8,2,1,9,10,4,2,3,11,1,9,8,4,11,3,7,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1
26,M,777,8,4,6,0,2,5,3,11,1,0,10,8,7,10,9,1,11,3,4,7,8,4,2,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1
26,M,1060,11,5,4,5,0,11,8,0,3,10,4,1,6,3,10,4,9,11,1,6,2,8,5,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1
26,M,1274,6,6,5,1,4,3,7,5,9,4,2,6,11,1,0,2,10,0,5,11,6,7,9,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1
26,M,861,7,4,4,11,3,2,10,4,8,3,5,11,1,0,6,10,7,5,0,1,4,2,8,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1
26,M,1544,0,3,3,3,5,1,9,2,4,7,6,5,2,6,7,9,8,1,11,3,0,0,11,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1
26,W,644,NA,6,4,6,7,4,5,9,11,2,1,11,3,4,8,10,2,3,9,6,10,NA,NA,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,NA,NA
26,W,719,NA,6,4,8,11,10,2,8,6,3,0,7,9,11,4,9,5,6,7,5,3,NA,NA,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,NA,NA
26,W,869,NA,4,6,4,6,9,1,4,5,0,8,9,10,3,11,6,0,10,3,8,7,NA,NA,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,NA,NA
26,W,2198,NA,4,3,10,9,8,6,5,7,1,11,10,0,2,5,11,4,0,2,9,1,NA,NA,-1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,NA,NA
26,W,767,NA,4,3,2,8,0,11,2,10,9,7,6,5,0,1,5,3,7,6,11,9,NA,NA,1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,NA,NA
26,W,731,NA,4,4,7,10,6,0,3,2,10,9,8,4,7,3,4,1,9,8,1,11,NA,NA,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,NA,NA
